id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h,src
64,sm m1300qb 리뷰,10,,50,0,0,0,10|10|10|10|10|0|10|10|10|10|10|10,4,1025,0,0,71,B,false,A
65,sm m1300q 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,71,B,false,A
66,stormx vm3,226,0.15,52,88.5k,201.2k,-0.2,320|300|300|230|240|240|240|240|290|200|250|230,8,9280,1,32,,B,false,A
67,sm m1300q 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,11329,0,0,71,B,false,A
68,sm m1300qb 드라이버,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3136,0,0,,B,false,A
69,sm m1300qb 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,71,B,false,A
70,sm m1300qb,316,0.2,70,240.2k,1.5M,-0.07,270|230|240|200|250|200|270|310|270|310|390|250,8,1088,1,16,71,B,false,A
71,sm m1300qb 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,11329,0,0,61|68|81|66|59|79|80|35|62|82|73|78,B,false,A
72,sm m1300q 연결,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,71,B,false,A
73,삼성 무선 마우스 분해,26,,0,0,0,-0.33,53|30|30|43|30|40|30|20|30|20|40|20,1,10304,0,0,,B,false,A
74,m1300k,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,71|1507,B,false,A
75,삼성 블루투스 마우스 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,11328,0,0,71,B,false,A
76,삼성 버티컬 마우스 분해,0,,,0,0,-1,0|0|0|0|0|0|0|0|14|0|0|0,1,8257,0,0,71|1507,B,false,A
77,삼성 sm-m1300qb,25,,,0,0,0,0|20|19|19|29|20|26|20|27|20|30|27,8,1088,0,0,71,B,false,A
78,유선 마우스 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,B,false,A
79,람주 마우스 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,B,false,A
80,로지텍 리프트,5390,0.17,85,110.4k,376.3k,-0.18,4.1k|4.1k|5.1k|4.9k|4.7k|4.7k|4.6k|4.8k|6.0k|5.0k|6.4k|4.9k,8,11328,0,16,,B,true,A
81,sm m1300qb 블루투스 연결,43,,1,0,0,0.25,20|10|30|20|30|30|20|30|40|30|50|50,8,1089,0,0,,B,false,A
82,삼성 마우스 분해,177,,0,0,0,0.81,80|70|90|60|56|70|55|62|122|140|170|222,1,9280,0,0,,B,false,A
83,sm m1300q8,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1024,0,0,71,B,false,A
84,버티컬 무선 마우스,620,0.21,100,50.1k,206.1k,-0.2,610|500|610|590|630|590|520|670|730|570|710|580,9,9281,0,0,1507|1239|1270|1316|1384,C,true,A
85,stormx 마우스 블루투스 연결,52,,4,0,0,-0.2,40|30|56|30|56|50|30|40|50|50|66|40,1,3137,0,0,,C,false,A
86,stormx vm1,17,,,0,0,-0.2,60|30|17|20|20|28|26|18|20|20|15|16,8,64,0,0,,C,false,A
87,stormx vm1 마우스 블루투스 연결,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,88|86|92|89|85|91|94|35|84|90|93|95,C,false,A
88,stormx m1 매크로,16,,2,0,0,1,20|10|10|10|10|10|10|20|10|10|20|20,4,1088,0,0,,C,false,A
89,stormx vm3 드라이버,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,64,0,0,,C,false,A
90,제닉스 마우스 드라이버,123,,0,0,0,-0.26,222|161|243|236|222|163|176|213|136|141|130|100,2,64,1,0,,C,false,A
91,stormx 헤드셋 드라이버,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1089,0,0,,C,false,A
92,stormx vm2 마우스 블루투스 연결,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,C,false,A
93,제닉스 마우스 추천,6,,50,0,0,0,10|10|10|10|10|10|10|10|10|0|10|10,4,8257,0,0,,C,false,A
94,마우스 타이탄,0,,,0,0,0,0|0|19|20|0|0|0|0|0|0|0|0,8,64,0,0,,C,false,A
95,제닉스 버티컬 마우스 vm1 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,65,0,0,,C,false,A
96,중국 사무용 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,136,D,false,A
97,설계 마우스,46,,,0,0,-0.2,40|40|60|50|40|40|50|50|50|50|50|40,8,64,0,0,136,D,false,A
98,마우스 추천 2026,56,0.36,81,55.6k,533.7k,70,0|0|0|0|0|0|0|0|0|50|50|70,1,8257,0,0,136,D,false,A
99,프로그래밍 마우스 추천,10,,76,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,8193,0,0,136,D,false,A
100,마우스 커스텀 도색,103,,1,0,0,-0.53,120|98|90|90|90|140|110|120|150|100|140|70,1,8256,0,0,,D,false,A
101,예쁜 마우스 디시,33,0.53,81,0,0,-0.25,20|20|40|30|20|10|20|20|40|40|30|30,1,64,0,0,,D,false,A
102,비누 마우스 무게,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3137,0,0,136,D,false,A
103,가성비 무선 마우스 추천,273,0.14,97,175.1k,656.1k,-0.13,320|230|300|380|270|330|270|280|360|240|270|310,4,8257,1,32,,D,false,A
104,사무용 마우스 추천 디시,346,0.32,75,0,0,-0.33,140|170|170|210|170|260|320|260|390|390|390|260,4,2112,0,0,,D,false,A
105,2025 마우스 추천,10,,,0,0,-0.75,70|90|90|90|50|70|50|40|40|10|10|10,1,10305,0,0,136,D,false,A
106,앱코 버티컬 마우스,2000,0.06,99,71.5k,201.3k,-0.03,1.4k|1.3k|1.6k|1.6k|1.6k|1.1k|1.2k|1.3k|1.9k|1.9k|2.4k|1.8k,8,9282,2,8,1270|1316,D,false,A
107,개발자 마우스 추천,146,0.27,100,0,0,-0.3,150|130|240|190|170|160|130|210|200|150|150|140,1,10305,0,0,136,D,false,A
108,디자이너 마우스 추천디시,36,,53,0,0,-0.25,40|40|20|20|40|20|30|30|40|50|30|30,1,2113,0,0,,D,false,A
109,가성비 사무용 마우스 디시,53,1.04,67,0,0,-0.42,30|30|30|50|50|50|90|40|70|70|50|40,4,1,0,0,,D,false,A
110,작업용 무선 마우스,16,0.67,100,0,0,0,10|10|10|10|10|10|10|10|10|20|20|10,8,8257,0,0,,D,false,A
111,인체공학 책상,83,,13,0,0,-0.18,48|38|50|70|48|37|70|80|110|80|80|90,1,64,0,64,117,D,false,A
112,유선 버티컬 마우스,1083,0.11,100,80.2k,226.9k,-0.12,980|840|1.2k|1.0k|890|810|830|1.1k|1.1k|980|1.3k|1.0k,8,8256,0,0,1507|1390|1270,D,false,A
113,마우스 할인,59,0.12,55,102.4k,480k,-0.51,59|66|59|60|70|50|100|70|100|70|60|49,8,65,0,0,136,D,false,A
114,3d 작업용 마우스,20,0.13,96,0,0,-0.5,20|30|40|40|20|20|30|20|20|20|30|10,9,8256,0,0,136,D,false,A
115,사무용 마우스 디시,270,0.53,49,0,0,-0.34,210|170|260|210|210|260|260|210|260|320|320|170,1,0,0,0,,D,false,A
116,사무용 마우스 끝판왕,152,0.25,76,0,0,-0.46,190|188|230|240|199|170|156|240|238|160|170|128,1,10305,0,0,,D,false,A
117,작업용 마우스,200,0.11,100,0,0,-0.45,150|170|200|190|180|220|210|190|240|230|240|130,8,64,0,0,114|165|108|205|35|830|142|121|189|141|180|110,D,false,A
118,그래픽 작업용 마우스,6,,93,0,0,0,10|10|10|10|10|10|10|10|10|10|0|10,8,8256,0,0,195|114|108|153|789|175|129|35|101|189|180|110,D,false,A
119,5만원 마우스,110,0.11,98,27.6k,464.7k,-0.36,90|70|110|159|100|170|90|128|110|140|122|70,5,8257,0,0,136,D,false,A
120,배그용 마우스 추천,0,,,0,0,-1,0|0|0|0|0|0|0|0|14|0|0|0,8,10305,0,0,136,D,false,A
121,사무용 마우스 추천 클리앙,56,,69,0,0,-0.28,50|70|70|70|70|70|70|50|70|50|70|50,1,0,0,0,,D,false,A
122,hacker 마우스 dpi 설정,40,,0,0,0,-0.57,20|30|40|10|10|20|20|40|70|50|40|30,1,2113,0,0,,D,false,A
123,손가락 마우스 후기,10,,13,0,0,0,10|10|10|20|10|10|10|10|10|10|10|10,1,8257,0,0,,D,false,A
124,스페이스 마우스 후기,23,0.44,31,0,0,0.5,50|20|40|30|20|20|30|10|20|20|20|30,5,8257,0,0,136,D,false,A
125,로지텍 핑크 마우스,300,0.24,99,0,0,-0.12,200|210|180|190|170|200|160|230|250|320|360|220,8,1088,0,0,1507,D,false,A
126,웨어러블 마우스,106,0.54,27,148.8k,732.6k,-0.62,86|59|50|55|88|30|30|85|277|110|105|103,4,3137,0,0,,D,false,A
127,프로그래머 용 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1,0,0,136,D,false,A
128,개발자 마우스 추천 디시,40,0.55,64,0,0,-0.55,0|0|40|50|30|70|50|50|90|40|40|40,1,8257,0,0,,D,false,A
129,마이크로소프트 디자이너 마우스,193,0.11,59,0,0,-0.22,140|120|150|150|130|120|120|150|180|210|230|140,8,65,1,0,,D,false,A
130,사무용 마우스 가성비,43,0.12,89,0,0,-0.42,40|50|40|50|40|50|40|40|70|40|50|40,8,10305,0,0,,D,false,A
131,cad 용 마우스,23,,59,0,0,1,10|10|10|33|26|21|10|28|10|25|26|20,8,8256,0,0,136,D,false,A
132,a660 마우스 드라이버,30,,0,0,0,-0.4,50|40|50|70|30|40|30|40|50|30|30|30,1,65,0,0,,D,false,A
133,5만원 이하 마우스,43,0.16,82,0,0,0,84|50|40|40|50|30|50|30|40|40|50|40,1,8257,0,0,136,D,false,A
134,링 마우스 추천,5,,,0,0,16,18|11|26|11|28|0|0|0|0|0|0|16,9,8257,0,0,,D,false,A
135,사무용 마우스 추천 퀘이사존,76,0.24,72,0,0,-0.44,30|40|40|50|70|50|40|40|90|90|90|50,1,64,0,0,,D,false,A
136,작업용 마우스 추천,58,0.09,100,0,0,-0.2,50|70|40|70|56|65|50|40|70|50|70|56,8,8257,0,0,195|107|169|35|130|116|135|121|188|194|182|180,D,true,A
137,설계 마우스 추천,0,,,0,0,0,0|0|19|0|0|0|0|0|0|0|0|0,4,10305,0,0,136,D,false,A
138,중국 마우스 추천,36,0.45,89,0,0,0,20|30|40|20|40|30|30|40|30|50|30|30,1,8257,0,0,136,D,false,A
139,사무직 마우스,30,,,0,0,-0.25,20|30|30|40|40|20|30|40|40|30|30|30,8,8257,0,0,205|158|35|168|130|116|115|104|121|188|194|182,D,false,A
140,로지텍 도킹,5,,,0,0,0,0|15|0|0|0|10|0|0|0|17|0|0,8,1089,0,0,117,D,false,A
141,작업용 마우스 디시,13,,35,0,0,0,20|10|40|10|10|10|20|10|10|20|10|10,1,65,0,0,,D,false,A
142,사무용 마우스 추천,2460,0.33,100,102.8k,431.9k,-0.24,1.6k|1.6k|2k|1.9k|1.9k|2.3k|2.3k|2.4k|2.8k|2.7k|2.6k|2.1k,8,8257,1,0,,D,false,A
143,설계용 마우스,113,0.2,62,0,0,-0.07,120|100|140|80|140|90|140|120|130|120|100|120,8,64,1,0,136,D,false,A
144,알리 키보드 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,9281,0,0,136,D,false,A
145,캐드 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,136,D,false,A
146,옵치 마우스 추천,30,0.02,62,0,0,0.5,20|20|20|10|10|40|20|10|20|40|20|30,1,8257,0,0,136,D,false,A
147,반지 마우스,460,0.21,46,54.9k,270.8k,-0.49,210|580|770|1.2k|760|490|420|560|730|520|490|370,8,9280,0,0,,D,false,A
148,앱코 마우스 디시,40,0.68,34,0,0,-0.25,40|40|50|30|40|40|30|40|40|50|40|30,1,64,0,0,,D,false,A
149,마우스 커스텀 비용,13,,2,0,0,-0.5,10|20|20|20|20|30|10|30|20|20|10|10,4,1089,0,0,,D,false,A
150,하이퍼 마우스,16,,14,0,0,0.26,10|40|260|50|28|40|39|25|23|10|10|29,8,3137,0,0,215,D,false,A
151,캐드용 마우스,216,0.4,77,127.4k,599.8k,-0.04,160|120|180|130|180|130|150|130|210|200|250|200,8,65,1,0,136,D,false,A
152,캐드용 무선 마우스,0,,,0,0,0,0|0|0|0|11|0|0|13|0|0|0|0,8,1089,0,0,136,D,false,A
153,디자이너 버티컬 마우스,24,0.71,33,0,0,-0.65,36|10|40|40|40|40|37|28|29|24|40|10,8,8257,0,0,1316,D,false,A
154,노트북 마우스 추천 디시,166,,66,0,0,-0.5,120|90|90|90|90|90|110|90|140|260|170|70,1,2112,0,0,,D,false,A
155,직장인 마우스 추천,100,0.09,100,0,0,-0.33,90|80|120|90|70|110|90|120|150|130|70|100,5,10241,0,0,136,D,false,A
156,코딩용 마우스,13,,20,0,0,-0.5,10|10|20|10|10|20|20|20|20|10|20|10,4,0,0,0,136,D,false,A
157,캐드 전용 마우스,5,,,0,0,17,0|0|0|20|0|0|0|0|0|0|0|17,8,65,0,0,136,D,false,A
158,로지텍 사무용 무선 마우스,93,0.05,100,110.4k,265.9k,0.33,90|110|120|110|100|80|90|80|60|90|110|80,8,8258,0,0,1507,D,false,A
159,충전식 무선 마우스 추천 퀘이사존,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,136,D,false,A
160,프로그래머 마우스 추천,10,,76,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,8257,0,0,136,D,false,A
161,마우스 디자인,129,0.14,18,0,0,0.77,130|110|105|86|140|108|90|89|90|89|140|160,1,8256,0,0,165|108|210|175|100|149|162|202|167|35|191|192,D,false,A
162,마우스 커스텀 사이트,46,,1,0,0,0,50|50|30|30|70|50|40|40|50|40|50|50,1,64,0,0,,D,false,A
163,레이저 핑크 마우스,70,0.14,68,0,0,-0.25,50|40|40|70|50|50|39|70|80|90|60|60,4,1090,0,0,,D,false,A
164,핑크색 게이밍 마우스,17,,,0,0,-0.1,14|0|20|23|20|16|19|28|20|16|17|18,8,64,0,0,132|122|193|163|789|125|35|174|148|106|101|185,D,false,A
165,디자이너 마우스 추천,260,0.12,90,0,0,-0.13,310|260|330|320|260|230|260|270|230|250|330|200,4,10304,0,0,,D,false,A
166,핑거 마우스 디시,33,0.77,11,0,0,-0.42,40|40|30|40|40|40|40|30|70|40|20|40,1,64,0,0,,D,false,A
167,마우스 커스텀 제작,36,0.27,6,0,0,-0.2,50|40|40|30|30|50|30|50|50|30|40|40,4,65,0,0,,D,false,A
168,사무실 마우스 추천,623,0.45,100,0,0,-0.27,400|370|580|510|500|450|470|620|730|650|690|530,8,10305,0,24,,D,false,A
169,로지텍 사무용 마우스 추천,100,0.07,100,0,0,0,60|90|120|100|100|90|87|90|100|100|100|100,8,8257,0,0,,D,false,A
170,프로그래머 마우스,20,0.47,63,122.1k,540.8k,0,20|10|20|30|10|20|20|20|20|20|20|20,4,8256,0,0,136,D,false,A
171,마우스 티어 2025,16,,44,0,0,-0.85,0|0|50|30|30|30|90|90|70|20|20|10,1,8257,0,0,136,D,false,A
172,지 슈라 2 핑크 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,9281,0,0,,D,false,A
173,알리익스프레스 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,136,D,false,A
174,앱코 a660 디시,20,,0,0,0,-0.66,30|40|30|30|30|30|40|30|30|30|20|10,1,1024,0,0,,D,false,A
175,마우스 커서 디자인,370,,0,0,0,0.78,178|167|175|165|217|172|179|197|230|290|410|410,1,8256,2,5,,D,false,A
176,겜 용이 마우스 티어,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,136,D,false,A
177,알리 사무용 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,9281,0,0,136,D,false,A
178,개발자 마우스 디시,20,,5,0,0,-0.5,50|70|40|50|30|40|20|20|40|20|20|20,1,64,0,0,1133|1239|1384,D,false,A
179,로지텍 핑크 키보드,383,0.14,98,0,0,-0.05,210|260|280|360|300|300|250|330|380|380|410|360,8,64,0,0,,D,false,A
180,작업용 마우스 추천 디시,26,0.24,73,0,0,-0.33,0|30|20|30|20|30|30|20|30|20|40|20,1,65,0,0,,D,false,A
181,휴대용 마우스 추천,253,0.18,100,61.2k,486.3k,-0.08,140|130|150|180|210|160|190|200|250|260|270|230,8,8257,1,0,,D,false,A
182,사무용 유선 마우스 추천,123,0.19,73,0,0,1.87,49|58|80|60|60|90|70|70|80|70|70|230,4,8257,0,0,,D,false,A
183,편집용 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,8257,0,0,,D,false,A
184,로지텍개발자 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,,D,false,A
185,핑크 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,D,false,A
186,지슈라 핑크,313,0.14,46,0,0,-0.13,430|430|380|400|260|390|330|320|300|340|340|260,8,1088,0,1,,D,false,A
187,모델링 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8257,0,0,136,D,false,A
188,사무용 무선 마우스 추천,423,0.09,100,65.3k,468.9k,-0.1,410|280|420|370|350|330|410|390|470|390|460|420,8,8257,1,0,,D,false,A
189,음악 작업용 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,D,false,A
190,마우스 할인 정보,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1,0,0,136,D,false,A
191,커스텀 마우스,793,0.23,15,77.3k,561.8k,0.06,640|700|720|860|830|690|680|680|740|730|860|790,4,10304,0,0,,D,false,A
