period,id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h
past,18,앱코 wm600,143,0.2,54,0,0,-0.25,280|210|170|180|170|130|190|120|160|150|160|120,8,64,1,16,12,A,false
past,19,앱코 wem60 끊김,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,3137,0,0,,A,false
past,20,앱코 wem60,583,0.12,72,79.0k,158.4k,0.22,520|470|580|490|510|330|360|420|500|550|590|610,8,64,0,16,,A,true
past,21,ragnok3,72,0.13,11,38.0k,426.6k,1.07,10|10|21|10|44|79|80|49|28|80|80|58,8,9280,0,0,,B,false
past,22,버티컬 풀다운 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,36|29,B,false
past,23,ergo 7,0,,,0,0,-1,0|0|10|0|10|0|0|0|10|0|0|0,4,1089,0,0,,B,false
past,24,스타 마우스 그립,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,11328,0,0,,B,false
past,25,버티컬 풀다운,220,,0,0,0,-0.27,240|250|260|250|290|218|220|220|290|200|250|210,1,8257,0,8,36|29,B,false
past,26,총손잡이 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8256,0,0,,B,false
past,27,랫풀다운,30503,0.28,6,140.4k,483.5k,-0.18,32.5k|37.4k|52.9k|45.4k|37.3k|29.2k|29.3k|35.5k|44.4k|26.7k|28.8k|36.0k,1,8256,0,0,,B,true
past,28,버티컬 운동,0,,,0,0,-1,0|0|0|0|0|0|0|0|12|0|0|0,1,10305,0,0,36,B,false
past,29,버티컬 로우 자세,64,,0,0,0,-0.16,61|71|140|70|61|61|50|52|60|63|81|50,1,8256,0,0,33|36|22|34,B,false
past,30,l25a 건 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,B,false
past,31,수평 당기기,30,,0,0,0,0.55,20|20|10|30|10|10|10|30|20|30|30|31,1,65,0,0,36,B,false
past,32,수평 당기기 운동,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,36|29,B,false
past,33,버티컬 로우 디시,10,,0,0,0,-0.5,0|0|0|20|20|20|10|10|20|10|10|10,4,64,0,0,,B,false
past,34,시티드 로우,28406,0.04,1,0,0,-0.26,33.2k|38.6k|47.1k|39.9k|33.8k|23.6k|23.3k|31.2k|39.1k|27.3k|29.2k|28.7k,5,8256,0,0,,B,false
past,35,ergostrike 7,55,,32,0,0,-0.62,120|130|130|120|150|110|50|40|70|90|50|26,9,9280,0,0,,B,false
past,36,버티컬 로우 머신,154,,0,0,0,-0.34,140|169|138|196|135|131|101|156|225|141|175|147,1,9280,0,20,27|33|22|34,B,false
past,37,버티컬 로우,583,,0,0,0,-0.2,540|570|780|650|620|510|480|490|690|530|670|550,1,8257,0,0,33|36|22|34,B,false
past,38,사무용 게임용 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8256,0,0,42|58,C,false
past,39,예쁜 마우스,523,0.2,74,21.9k,266.8k,-0.17,330|430|390|490|430|350|330|430|510|580|570|420,8,64,0,16,66|56|54,C,false
past,40,디자인 작업용 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8256,0,0,46,C,false
past,41,포토샵용 마우스,0,,,0,0,0,0|0|0|15|0|0|0|0|0|0|0|0,8,65,0,0,39,C,false
past,42,사무용 유선 마우스,113,0.28,100,0,0,-0.5,170|150|200|200|160|130|120|130|180|120|130|90,8,8257,1,0,,C,false
past,43,편집자 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,8257,0,0,39,C,false
past,44,마우스 브랜드 종류,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,50,C,false
past,45,마이크로소프트 디자이너 마우스 페어링,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,65,0,0,,C,false
past,46,로지텍 작업용 마우스,20,0.03,92,0,0,-0.5,20|10|37|10|25|10|20|30|20|20|30|10,8,8257,0,0,,C,false
past,47,사무용 무선 마우스,850,0.1,100,80.6k,260.2k,-0.27,590|620|870|720|760|590|840|840|970|930|920|700,8,8256,1,0,,C,false
past,48,특이한 마우스,480,0.34,53,169.4k,489.4k,-0.04,400|490|460|460|550|370|400|500|440|480|540|420,8,9280,0,0,,C,false
past,49,맥북 디자이너 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,C,false
past,50,사무용 마우스 브랜드,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8257,0,0,62|64,C,false
past,51,건축학과 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,10305,0,0,39,C,false
past,52,a 마우스,13,,5,0,0,-0.13,10|20|10|20|20|20|20|20|23|10|10|20,5,8256,0,0,39,C,false
past,53,만원대 마우스,16,,38,0,0,-0.5,20|30|20|20|30|20|20|20|20|20|20|10,8,8256,0,0,39,C,false
past,54,휴대용 마우스,1133,0.06,100,124.8k,270.8k,-0.16,610|560|630|770|760|830|810|870|1.1k|1.3k|1.2k|890,8,10304,1,32,,C,false
past,55,노트북 무선마우스 추천,456,0.24,100,85.0k,502.2k,-0.29,270|210|250|230|330|210|220|220|370|610|500|260,8,8257,0,0,,C,false
past,56,예쁜 마우스 추천,66,0.2,100,0,0,-0.44,50|64|54|80|86|46|55|67|90|90|60|50,9,10305,0,0,,C,false
past,57,직장인 마우스,90,0.02,22,0,0,-0.18,120|80|130|130|110|80|80|110|110|80|100|90,8,8257,0,8,55|70|47,C,false
past,58,사무용 키보드,5106,0.17,91,80.5k,333.9k,-0.47,4.9k|4.6k|5.3k|4.9k|4.4k|4.7k|5.8k|6.1k|8.2k|5.7k|5.3k|4.3k,8,8256,0,16,,C,true
past,59,영상편집 마우스,90,0.1,55,0,0,-0.35,110|100|120|110|120|90|90|90|140|80|100|90,8,8257,0,16,,C,false
past,60,디자인 작업 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8256,0,0,59,C,false
past,61,mk370,133,0.71,34,138.5k,414.9k,-0.12,90|70|57|40|38|60|130|120|160|100|160|140,8,1088,1,64,,C,false
past,62,마우스 브랜드 디시,26,,14,0,0,-0.33,20|30|30|40|30|20|20|20|30|30|30|20,1,64,0,0,,C,false
past,63,편집 마우스,18,,,0,0,0,18|11|20|17|18|18|17|16|20|20|15|20,8,8256,0,0,39,C,false
past,64,마우스 브랜드 티어,26,,21,0,0,-0.5,50|50|50|70|70|70|20|20|20|40|30|10,1,8257,0,0,,C,false
past,65,디자이너 마우스,386,0.2,53,0,0,-0.16,430|500|520|440|470|360|420|430|430|380|420|360,8,8256,0,0,45|49|48,C,false
past,66,고급 마우스,196,0.31,100,0,0,-0.14,160|130|200|180|160|110|180|190|210|190|220|180,4,8257,0,0,,C,false
past,67,마이크로소프트 모바일 마우스,16,0.39,88,0,0,0,10|10|25|10|10|10|10|10|10|29|10|10,8,9280,0,0,,C,false
past,68,마우스 다나와,122,,30,0,0,-0.2,170|130|160|130|130|129|140|107|139|128|130|110,8,0,0,0,39,C,false
past,69,디자인 예쁜 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8256,0,0,72,C,false
past,70,블루투스 마우스 추천,1160,0.2,100,66.5k,332.4k,-0.15,1.1k|1.0k|1.1k|1.1k|1.2k|1.1k|880|860|1.1k|1.2k|1.3k|960,8,8257,1,0,,C,false
past,71,그래픽 디자이너 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8256,0,0,39,C,false
past,72,디자인 마우스,156,0.85,61,0,0,0.07,140|140|150|160|200|130|130|130|130|150|180|140,8,8256,0,0,67,C,false
past,73,레이저 마우스 충전 패드,40,0.24,51,0,0,-0.6,60|60|60|80|50|50|50|50|50|50|50|20,4,1088,0,0,,D,false
past,74,드론 호버링 센서,6,,,0,0,0,10|10|10|10|10|0|10|0|0|10|10|0,1,3137,0,0,,D,false
past,75,드론 옵티컬 플로우 센서,10,,0,0,0,0,10|10|10|0|10|10|10|10|10|10|10|10,1,1089,0,0,,D,false
past,76,마우스 적외선 센서,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,3136,0,0,525,D,false
past,77,optical flow 센서,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,3137,0,0,,D,false
past,78,드론 optical flow,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1088,0,0,,D,false
past,79,마우스 기계식 스위치,16,,2,0,0,1,0|0|0|0|0|0|20|20|10|20|10|20,1,65,0,0,,D,false
past,80,옵티컬 센서 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,79,D,false
past,81,레이저 데스에더,2246,0.14,65,56.1k,357.1k,-0.18,2.4k|2.2k|4.1k|3.4k|2.3k|2.3k|2.6k|2.4k|2.4k|2.6k|2.3k|1.9k,8,3136,1,0,,D,true
past,82,마우스 광 레이저 적외선 차이,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,D,false
past,83,키보드 위치 자세,36,,0,0,0,0,40|40|70|50|50|30|30|50|40|30|40|40,5,8256,0,0,,E,false
past,84,손 에 힘 주면 팔 아픔,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,,E,false
past,85,올바른 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,E,false
past,86,마우스 휠 손가락 통증,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,65,0,0,,E,false
past,87,개발자 손목 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,,E,false
past,88,거북목 방지기구,43,0.66,100,122.2k,485.1k,0,50|40|40|50|40|50|40|50|50|40|40|50,8,2113,0,0,,E,false
past,89,컴퓨터 거북목 방지,10,0.3,100,0,0,10,0|0|0|0|0|0|0|0|0|10|10|10,1,8257,0,0,,E,false
past,90,게임 키보드 마우스 위치,10,,0,0,0,-0.5,20|10|20|10|10|10|10|10|20|10|10|10,1,8257,0,0,,E,false
past,91,마우스 새끼 손가락 위치,43,,0,0,0,0.25,30|40|50|40|40|50|30|40|40|40|40|50,4,2113,0,0,,E,false
past,92,마우스 새끼손가락디시,20,,0,0,0,-0.33,30|30|20|20|20|30|20|20|30|10|30|20,1,65,0,0,,E,false
past,93,컴퓨터 목 통증 디시,26,,0,0,0,-0.8,30|20|30|20|30|20|30|40|50|30|40|10,1,8256,0,0,,E,false
past,94,배치파일 마우스 이동,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1,0,0,,E,false
past,95,손목 터널 증후군 마우스 자세,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2144,0,0,96,E,false
past,96,손목터널증후군 테스트,563,0.41,15,210.5k,305.1k,0.05,2.5k|2.6k|3.0k|3.0k|1.7k|170|170|460|540|560|560|570,1,8257,0,8,,E,false
past,97,손목 과사용 증후군,0,,,0,0,0,11|0|24|0|0|0|0|0|0|0|0|0,1,10305,0,0,,E,false
past,98,거북목 목디스크 차이,16,,2,0,0,-0.33,50|50|53|50|30|30|58|23|30|10|20|20,1,10305,0,0,,E,false
past,99,마우스 배치,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,104|90|94|101|83|102,E,false
past,100,목디스크 증상,26146,,,0,0,0.04,31.3k|27.8k|24.9k|27.1k|25.0k|21.5k|20.4k|22.7k|24.3k|25.3k|27.7k|25.4k,1,10305,0,0,,E,true
past,101,배치파일 마우스 클릭,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,,E,false
past,102,키보드 위치디시,40,,0,0,0,0,50|40|70|70|50|40|40|50|40|40|40|40,1,65,0,0,,E,false
past,103,손목 팔꿈치 통증,223,0.36,18,209.2k,338.8k,0.14,290|300|280|290|270|230|150|170|210|180|250|240,1,10305,0,4,,E,false
past,104,fps 키보드 위치 디시,36,,0,0,0,1,30|30|30|40|40|30|20|20|20|30|40|40,1,2113,0,0,,E,false
past,105,마우스 손가락 저림,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,96,0,0,91|92,E,false
past,106,철봉 손가락 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,E,false
past,107,목 디스크 마우스,0,,,0,0,-1,14|0|0|0|0|0|0|0|12|0|0|0,1,2113,0,0,98|88|100|89|93,E,false
past,108,mx vertical as,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,F,false
past,109,mx master 3나무위키,10,,7,0,0,0,20|30|20|30|40|40|20|10|10|10|10|10,5,0,0,0,,F,false
past,110,mx master 4,25056,0.23,93,84.5k,325.2k,-0.42,1.7k|6.3k|8.5k|12.0k|29.9k|103k|36.8k|30.6k|37.6k|25.4k|28.1k|21.7k,8,9280,1,16,,F,true
past,111,mx vertical 게임ぱっど,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,F,false
past,112,로지텍 mx master 4 출시일,59,0.07,37,0,0,-0.42,390|495|550|760|1.6k|1.2k|140|70|70|68|70|40,4,2113,0,0,,F,false
past,113,mx vertical,1543,0.14,73,95.6k,283.6k,-0.2,1.4k|1.5k|1.8k|1.9k|1.8k|1.9k|1.5k|1.7k|1.8k|1.4k|1.8k|1.4k,8,9280,1,0,,F,false
past,114,마이크로소프트 ergonomic마우스,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,1089,0,0,,G,false
past,115,마이크로소프트에고노믹 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,G,false
past,116,ms 스컬프트 어고노믹 키보드,10,,0,0,0,0,10|10|10|10|0|10|10|10|10|10|10|10,8,1088,0,0,,G,false
past,117,마이크로 소프트 에르고 마우스,5,,,0,0,0,0|16|0|0|19|0|0|0|0|0|17|0,8,65,0,0,,G,false
past,118,스컬프트 어고노믹 무선 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,G,false
past,119,마이크로소프트 마우스 스컬 프트,99,,0,0,0,14,10|26|39|22|0|23|17|10|10|29|120|150,8,1088,0,16,,G,false
past,120,ms 인체공학,0,,,0,0,0,0|0|20|0|0|0|0|0|0|0|0|0,8,64,0,0,,G,false
past,121,스컬 프트 인체공학 데스크톱,6,,,0,0,-1,10|10|10|10|10|10|10|10|10|10|10|0,8,9280,0,0,,G,false
past,122,마이크로소프트 스컬프트 인체공학 마우스,23,0.27,33,0,0,0.04,10|0|0|10|31|11|12|10|21|24|23|22,8,65,0,0,,G,false
past,123,마이크로소프트 sculpt,32,,0,0,0,1.1,40|40|30|50|30|29|30|28|19|29|28|40,8,1089,0,0,,G,false
past,124,스컬 프트 에르고 노믹 키보드,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8256,0,0,,G,false
past,125,마이크로 소프트 마우스 1560,0,,,0,0,0,0|0|0|11|0|0|0|0|0|0|0|0,8,1088,0,0,,G,false
past,126,ms sculpt,19,,14,0,0,-0.03,24|30|30|10|40|25|26|10|28|10|20|27,8,9281,0,0,,G,false
past,127,스컬프트 에고노미그,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8256,0,0,164,G,false
past,128,마이크로소프트 에고노믹 블루투스 마우스 연결,6,,,0,0,-1,10|10|10|10|10|10|10|10|10|10|10|0,1,65,0,0,,G,false
past,129,microsoft ergonomic sculpt mouse,76,0.14,58,0,0,0.28,70|70|110|110|90|90|70|70|70|70|70|90,8,8256,0,0,,G,false
past,130,에르고 마우스,73,0.45,100,0,0,0.28,30|30|40|140|160|130|210|110|70|70|60|90,8,8256,0,16,,G,false
past,131,microsoft mouse ergonomic sculpt,76,0.14,58,0,0,0.28,70|70|110|110|90|90|70|70|70|70|70|90,8,64,0,0,,G,false
past,132,스컬프트 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10304,0,0,,G,false
past,133,ms 어고노믹 마우스,10,0.3,67,0,0,-0.5,10|20|20|10|10|10|10|10|20|10|10|10,8,64,0,0,,G,false
past,134,스컬 프트 키보드 수리,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,,G,false
past,135,microsoft sculpt ergonomic mouse,100,0.14,58,0,0,0.12,107|110|165|159|120|129|94|97|93|98|97|105,8,11328,0,0,,G,false
past,136,서피스 고 마우스,3,,,0,0,-1,10|10|10|10|20|10|10|10|22|10|0|0,4,65,0,0,,G,false
past,137,어고노믹 스컬프트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,9280,0,0,,G,false
past,138,스컬프트 어고노믹 키보드,10,,0,0,0,0,20|10|10|20|10|10|10|10|10|10|10|10,8,64,0,0,,G,false
past,139,sculpt ergonomic mouse,37,1.74,98,0,0,-0.28,70|70|80|100|110|69|46|60|57|40|30|41,8,9280,0,0,,G,false
past,140,ms 스컬프트 에고노믹,33,,14,0,0,0,50|50|80|60|60|30|30|30|30|30|40|30,8,9280,0,0,,G,false
past,141,마이크로소프트 sculpt ergonomic mouse,20,,0,0,0,-0.6,25|45|32|26|20|24|21|24|25|26|26|10,8,8256,0,0,,G,false
past,142,어고노믹 키보드,356,0.26,53,0,0,-0.15,420|380|440|430|510|350|370|310|390|350|390|330,9,320,0,16,,G,false
past,143,마소 버티컬 마우스,10,0.27,60,0,0,0,10|10|10|10|0|10|10|10|10|10|10|10,8,1089,0,0,,G,false
past,144,마이크로소프트 인체공학 마우스,93,0.11,63,0,0,-0.41,160|70|150|100|110|90|70|70|120|100|110|70,8,64,0,16,,G,false
past,145,스컬프트 에고노믹 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8257,0,0,,G,false
past,146,마이크로소프트 스컬프트 마우스 as,13,,14,0,0,-0.58,22|23|33|34|20|20|26|30|24|10|21|10,4,1025,0,0,158,G,false
past,147,ms 에르고,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,G,false
past,148,ms sculpt ergonomic,16,,82,0,0,1,31|10|10|20|20|10|24|23|10|20|10|20,8,1088,0,0,,G,false
past,149,ms 스컬프트 어고노믹 마우스,10,0.22,52,0,0,0,10|20|20|20|10|10|10|10|10|10|10|10,8,9281,0,0,,G,false
past,150,마이크로소프트 에르고노믹 마우스,33,,41,0,0,-0.13,10|25|27|29|27|10|10|23|30|36|37|26,8,65,0,0,,G,false
past,151,ms 어고노믹,10,,50,0,0,0,10|10|10|20|10|10|10|20|10|10|10|10,8,3136,0,0,,G,false
past,152,마이크로소프트 스컬프트 에고노믹 데스크탑 무선 키보드 마우스세트,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,164,G,false
past,153,ms sculpt ergonomic 마우스,3,,,0,0,0,10|10|0|10|0|10|0|10|0|10|0|0,8,1088,0,0,,G,false
past,154,스컬프트 에고노믹,150,0.07,36,0,0,0.33,190|290|260|220|290|200|140|100|120|110|180|160,8,64,0,16,,G,false
past,155,마이크로소프트 에르고노믹,12,,,0,0,0,17|20|20|0|20|0|0|17|17|19|0|17,8,65,0,0,,G,false
past,156,서피스 어고노믹,6,,,0,0,0,10|10|0|10|10|10|10|10|0|10|10|0,8,65,0,0,,G,false
past,157,스컬프트 에고노믹 키보드,18,,,0,0,-0.28,20|40|30|30|30|40|20|27|28|14|20|20,8,64,0,0,,G,false
past,158,에고노믹 마우스 as,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,140|165|128|130,G,false
past,159,마소 스컬 프트림,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,0,0,0,,G,false
past,160,어고노믹,90,,13,0,0,0.12,140|120|120|90|90|110|80|90|80|80|100|90,9,64,0,0,,G,false
past,161,ms 스컬프트 마우스,86,0.14,29,0,0,0,70|90|80|100|90|90|50|90|100|70|90|100,8,2112,0,32,,G,false
past,162,sculpt mouse,10,,,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,11328,0,0,,G,false
past,163,마이크로소프트 스컬 프트 마우스 스위치 교체,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,9281,0,0,,G,false
past,164,스컬프트 어고노믹 마우스,23,0.34,61,0,0,0,10|20|20|30|10|10|10|10|30|20|20|30,8,64,0,0,165|170|142,G,false
past,165,마이크로소프트 스컬프트 마우스 설정,6,,0,0,0,0,10|10|10|10|10|10|10|10|10|0|10|10,1,65,0,0,,G,false
past,166,microsoft mouse sculpt ergonomic,76,0.14,58,0,0,0.28,70|70|110|110|90|90|70|70|70|70|70|90,8,64,0,0,,G,false
past,167,마이크로소프트 스컬프트 키보드 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,,G,false
past,168,마이크로소프트 스컬프트 어고노믹 마우스,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,1088,0,0,,G,false
past,169,마이크로소프트 마우스 추천,10,0.12,90,0,0,-0.7,10|10|20|10|10|10|10|10|34|10|10|10,8,8257,0,0,,G,false
past,170,스컬프트 어고노믹 마우스 분해,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,,G,false
past,171,스컬프트 에고노믹 마우스,36,0.32,39,0,0,-0.58,30|50|40|28|39|28|29|27|70|50|30|29,8,64,0,0,165|181,G,false
past,172,에르고닉,0,,,0,0,0,11|0|16|17|43|0|0|0|0|0|0|0,8,65,0,0,,G,false
past,173,마이크로소프트 인체공학 마우슯,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,,G,false
past,174,마이크로소프트 ergonomic 마우스,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,1089,0,0,,G,false
past,175,마이크로소프트 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,G,false
past,176,마이크로소프트 키보드 단종,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,G,false
past,177,마이크로소프트 스컬프트,163,0.1,27,0,0,-0.28,320|340|440|400|330|220|200|300|210|190|150|150,8,8256,0,24,,G,false
past,178,microsoft 1560,6,,,0,0,10,0|10|10|0|0|10|10|0|0|10|0|10,8,1088,0,0,,G,false
past,179,ms 에고노믹,43,0.23,39,0,0,0.2,50|40|70|60|50|60|60|60|50|30|40|60,8,64,0,0,,G,false
past,180,마소 어고노믹,10,,29,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,8,1088,0,0,,G,false
past,181,스컬프트 마우스 휠 고장,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,,G,false
past,182,마이크로소프트 스컬프트 에고노믹 데스크탑,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,9280,0,0,164,G,false
past,183,마이크로 소프트 어고 노믹스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,,G,false
past,184,ms 스컬프트,83,0.1,23,0,0,-0.2,150|140|140|110|140|110|100|100|100|70|100|80,8,8256,1,32,,G,false
past,185,ms sculpt ergonomic mouse,16,0.33,52,0,0,-0.5,10|20|20|20|30|10|20|10|20|20|20|10,8,8256,0,0,,G,false
past,186,마이크로소프트 sculpt ergonomic,19,0.3,51,0,0,-0.6,22|10|25|26|26|10|10|10|25|10|38|10,8,1088,0,0,,G,false
past,187,마이크로소프트 1560,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,1344,0,0,,G,false
past,188,마이크로소프트 스컬프트 마우스,410,0.18,52,0,0,-0.17,430|420|480|380|380|340|280|370|450|470|390|370,8,64,0,48,,G,false
past,189,마이크로소프트 에고노믹 마우스 설정,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,,G,false
past,190,마이크로소프트 에고노믹 마우스,156,0.12,45,0,0,-0.22,260|210|240|270|290|210|160|160|220|160|140|170,8,64,0,16,,G,false
past,191,스컬프트 마우스 as,0,,,0,0,0,17|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,158,G,false
past,192,마이크로소프트 스컬프트 어고노믹,10,,0,0,0,0,10|10|10|10|10|0|10|0|10|10|10|10,8,1088,0,0,,G,false
past,193,마이크로소프트 스컬프트 마우스 블루투스,0,,,0,0,-1,0|0|0|0|0|0|0|0|15|0|0|0,8,3137,0,0,,G,false
past,194,인케이스 마우스,38,,5,0,0,-0.16,49|37|40|48|38|40|20|40|30|40|50|25,8,64,0,0,,G,false
past,195,microsoft mouse 1560,3,,0,0,0,0,10|0|10|10|0|0|0|10|10|0|0|10,8,64,0,0,,G,false
past,196,sculpt ergonomic mouse bluetooth,3,,21,0,0,0,0|10|10|10|10|0|0|0|10|0|0|10,8,10304,0,0,,G,false
past,197,마소 스컬 프트립,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,,G,false
past,198,마이크로소프트 sculpt 마우스,0,,,0,0,0,12|20|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,,G,false
